Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,2.7979838847320175e-08
1.0,2.0,1.5,2.7979838847320175e-08
2.0,3.0,2.5,2.7979838847320175e-08
3.0,4.0,3.5,0.0008394231452584527
4.0,5.0,4.5,0.003917205418463672
5.0,6.0,5.5,0.009233374799454507
6.0,7.0,6.5,0.008953576410981304
7.0,8.0,7.5,0.013989947403498936
8.0,9.0,8.5,0.021264705503802182
9.0,10.0,9.5,0.02742027005021262
10.0,11.0,10.5,0.034415229762042664
11.0,12.0,11.5,0.0562395040629524
12.0,13.0,12.5,0.05763849600531841
13.0,14.0,13.5,0.08477893968721897
14.0,15.0,14.5,0.08170115741401375
15.0,16.0,15.5,0.11667595597316398
16.0,17.0,16.5,0.11135978659217313
17.0,18.0,17.5,0.12506990762736003
18.0,19.0,18.5,0.1205931334117888
19.0,20.0,19.5,0.12590930279277962
