Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.32625642902804e-07
1.0,2.0,1.5,1.32625642902804e-07
2.0,3.0,2.5,1.32625642902804e-07
3.0,4.0,3.5,1.32625642902804e-07
4.0,5.0,4.5,1.32625642902804e-07
5.0,6.0,5.5,0.0013263890546709426
6.0,7.0,6.5,0.0026526454836989827
7.0,8.0,7.5,0.0026526454836989827
8.0,9.0,8.5,0.0026526454836989827
9.0,10.0,9.5,0.011936440486895262
10.0,11.0,10.5,0.02122023549009154
11.0,12.0,11.5,0.07957551836732529
12.0,13.0,12.5,0.06896546693510097
13.0,14.0,13.5,0.0729442362221851
14.0,15.0,14.5,0.10079562123177394
15.0,16.0,15.5,0.11538444195108237
16.0,17.0,16.5,0.1392570576735871
17.0,18.0,17.5,0.10477439051885805
18.0,19.0,18.5,0.12732074981233474
19.0,20.0,19.5,0.14854085267678335
