Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.0224927965382485e-07
1.0,2.0,1.5,1.0224927965382485e-07
2.0,3.0,2.5,1.0224927965382485e-07
3.0,4.0,3.5,1.0224927965382485e-07
4.0,5.0,4.5,1.0224927965382485e-07
5.0,6.0,5.5,1.0224927965382485e-07
6.0,7.0,6.5,1.0224927965382485e-07
7.0,8.0,7.5,0.007157551825047392
8.0,9.0,8.5,0.005112566231970895
9.0,10.0,9.5,0.008180044621585641
10.0,11.0,10.5,0.017382479790429877
11.0,12.0,11.5,0.04805726368657733
12.0,13.0,12.5,0.07157459800695705
13.0,14.0,13.5,0.06032717724503631
14.0,15.0,14.5,0.104294367496181
15.0,16.0,15.5,0.1298566874096372
16.0,17.0,16.5,0.14417158656117268
17.0,18.0,17.5,0.14110410817155794
18.0,19.0,18.5,0.13087918020617545
19.0,20.0,19.5,0.13190167300271372
