Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.8518449931666923e-07
1.0,2.0,1.5,1.8518449931666923e-07
2.0,3.0,2.5,1.8518449931666923e-07
3.0,4.0,3.5,1.8518449931666923e-07
4.0,5.0,4.5,1.8518449931666923e-07
5.0,6.0,5.5,1.8518449931666923e-07
6.0,7.0,6.5,0.0018520301776660088
7.0,8.0,7.5,0.0018520301776660088
8.0,9.0,8.5,0.0037038751708327014
9.0,10.0,9.5,0.012963100136666161
10.0,11.0,10.5,0.016666790122999545
11.0,12.0,11.5,0.05
12.0,13.0,12.5,0.0777776748975004
13.0,14.0,13.5,0.14999962963100139
14.0,15.0,14.5,0.15370331961733477
15.0,16.0,15.5,0.09814796982233401
16.0,17.0,16.5,0.07407398491116701
17.0,18.0,17.5,0.12962933470616778
18.0,19.0,18.5,0.09814796982233401
19.0,20.0,19.5,0.13148117969933446
