Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,3.411802516682009e-08
1.0,2.0,1.5,3.411802516682009e-08
2.0,3.0,2.5,3.411802516682009e-08
3.0,4.0,3.5,3.411802516682009e-08
4.0,5.0,4.5,0.002388295879702573
5.0,6.0,5.5,0.0010235748730297693
6.0,7.0,6.5,0.008529540409730188
7.0,8.0,7.5,0.006482458899720983
8.0,9.0,8.5,0.010235441668071192
9.0,10.0,9.5,0.01740022695310341
10.0,11.0,10.5,0.018764947959776214
11.0,12.0,11.5,0.04332992607988668
12.0,13.0,12.5,0.05731831639828291
13.0,14.0,13.5,0.08870689955175738
14.0,15.0,14.5,0.07881267225337957
15.0,16.0,15.5,0.10474237138016282
16.0,17.0,16.5,0.11838958144689085
17.0,18.0,17.5,0.16376655491876158
18.0,19.0,18.5,0.1344250532752963
19.0,20.0,19.5,0.14568400158034692
