Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.123342816593391e-08
1.0,2.0,1.5,1.123342816593391e-08
2.0,3.0,2.5,1.123342816593391e-08
3.0,4.0,3.5,0.0006740169233842005
4.0,5.0,4.5,0.0011233540500215568
5.0,6.0,5.5,0.0037070425281863564
6.0,7.0,6.5,0.006403065288010495
7.0,8.0,7.5,0.0075264081046038855
8.0,9.0,8.5,0.011345773681021415
9.0,10.0,9.5,0.018984504833856473
10.0,11.0,10.5,0.021680527593680613
11.0,12.0,11.5,0.043698046798911074
12.0,13.0,12.5,0.04897775803690001
13.0,14.0,13.5,0.12143336970717372
14.0,15.0,14.5,0.14109186899755807
15.0,16.0,15.5,0.10694224737311898
16.0,17.0,16.5,0.1052572331482289
17.0,18.0,17.5,0.12132103542551438
18.0,19.0,18.5,0.11008760725958047
19.0,20.0,19.5,0.12974610654996482
