Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.3440824083806228e-07
1.0,2.0,1.5,1.3440824083806228e-07
2.0,3.0,2.5,1.3440824083806228e-07
3.0,4.0,3.5,1.3440824083806228e-07
4.0,5.0,4.5,1.3440824083806228e-07
5.0,6.0,5.5,0.004032381633382706
6.0,7.0,6.5,0.0013442168166214608
7.0,8.0,7.5,0.008064628858524573
8.0,9.0,8.5,0.008064628858524573
9.0,10.0,9.5,0.014785040900427688
10.0,11.0,10.5,0.033602194617756403
11.0,12.0,11.5,0.04301077147642077
12.0,13.0,12.5,0.08064507891107821
13.0,14.0,13.5,0.07930099650269758
14.0,15.0,14.5,0.07661283168593634
15.0,16.0,15.5,0.1276879632044
16.0,17.0,16.5,0.14919328173848997
17.0,18.0,17.5,0.13172021042954188
18.0,19.0,18.5,0.12365571597925813
19.0,20.0,19.5,0.11827938634573563
