Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.1947402754115285e-07
1.0,2.0,1.5,1.1947402754115285e-07
2.0,3.0,2.5,1.1947402754115285e-07
3.0,4.0,3.5,1.1947402754115285e-07
4.0,5.0,4.5,1.1947402754115285e-07
5.0,6.0,5.5,1.1947402754115285e-07
6.0,7.0,6.5,0.002389600024850598
7.0,8.0,7.5,0.0011948597494390696
8.0,9.0,8.5,0.004779080575673654
9.0,10.0,9.5,0.011947522228142824
10.0,11.0,10.5,0.019115963880611996
11.0,12.0,11.5,0.05734765269378091
12.0,13.0,12.5,0.07287927627413078
13.0,14.0,13.5,0.11111096508729969
14.0,15.0,14.5,0.08841089985448064
15.0,16.0,15.5,0.10035830260859592
16.0,17.0,16.5,0.13500577059553026
17.0,18.0,17.5,0.1242531081168265
18.0,19.0,18.5,0.1242531081168265
19.0,20.0,19.5,0.14695317334964553
