Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,5.0632860118622665e-08
1.0,2.0,1.5,5.0632860118622665e-08
2.0,3.0,2.5,5.0632860118622665e-08
3.0,4.0,3.5,0.0005063792340463453
4.0,5.0,4.5,0.0030380222399774785
5.0,6.0,5.5,0.007594979650653518
6.0,7.0,6.5,0.009620294055398425
7.0,8.0,7.5,0.009113965454212199
8.0,9.0,8.5,0.015696237269633144
9.0,10.0,9.5,0.01822788027556428
10.0,11.0,10.5,0.036455709918268436
11.0,12.0,11.5,0.04607595334080675
12.0,13.0,12.5,0.05164556795385524
13.0,14.0,13.5,0.10278475667366413
14.0,15.0,14.5,0.07848098381672525
15.0,16.0,15.5,0.10481007107840903
16.0,17.0,16.5,0.11341765729857489
17.0,18.0,17.5,0.13974674456025865
18.0,19.0,18.5,0.12151891491755452
19.0,20.0,19.5,0.14126573036381734
