Distance_Min,Distance_Max,Distance_Mid,Count,Frequency
0.0,1.0,0.5,0.0,1.8253504006516355e-09
1.0,2.0,1.5,0.0,1.8253504006516355e-09
2.0,3.0,2.5,6.0,0.00010952284938949877
3.0,4.0,3.5,39.0,0.0007118884816045385
4.0,5.0,4.5,131.0,0.0023912108502040434
5.0,6.0,5.5,286.0,0.0052205039712140775
6.0,7.0,6.5,450.0,0.00821407862828276
7.0,8.0,7.5,620.0,0.01131717430939054
8.0,9.0,8.5,846.0,0.015442466214863237
9.0,10.0,9.5,1181.0,0.021557390057046214
10.0,11.0,10.5,1589.0,0.02900481969170489
11.0,12.0,11.5,2553.0,0.04660119755398666
12.0,13.0,12.5,3107.0,0.05671363877359672
13.0,14.0,13.5,5125.0,0.09354920985874672
14.0,15.0,14.5,5473.0,0.09990142925301441
15.0,16.0,15.5,5924.0,0.10813375955995329
16.0,17.0,16.5,6067.0,0.11074401063288512
17.0,18.0,17.5,7349.0,0.1341450027692391
18.0,19.0,18.5,6514.0,0.11890332692379794
19.0,20.0,19.5,7524.0,0.13733936597037946
