Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-3.2586611442050963
1.0,2.0,1.5,-3.2586611442050963
2.0,3.0,2.5,-3.2586611442050963
3.0,4.0,3.5,-3.2586611442050963
4.0,5.0,4.5,-3.2586611442050963
5.0,6.0,5.5,8.254274320715133
6.0,7.0,6.5,-0.6196966667585382
7.0,8.0,7.5,0.23774945255948965
8.0,9.0,8.5,9.283887309368485
9.0,10.0,9.5,1.0719735168695095
10.0,11.0,10.5,-0.1087941430661671
11.0,12.0,11.5,0.5179130337314563
12.0,13.0,12.5,0.007494891312264603
13.0,14.0,13.5,-0.0033190732366606365
14.0,15.0,14.5,0.2491419307012685
15.0,16.0,15.5,-0.18372068763607483
16.0,17.0,16.5,-0.13776817867421054
17.0,18.0,17.5,-0.13737093389166086
18.0,19.0,18.5,0.07115636061878877
19.0,20.0,19.5,-0.04847417824065836
