Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-1.8421460697872425
1.0,2.0,1.5,-1.8421460697872425
2.0,3.0,2.5,9.159970437944775
3.0,4.0,3.5,-0.5764862232244585
4.0,5.0,4.5,-0.011475182844450389
5.0,6.0,5.5,-0.15644770965989607
6.0,7.0,6.5,-0.2327090462414384
7.0,8.0,7.5,-0.35406956735255923
8.0,9.0,8.5,-0.23152589861659123
9.0,10.0,9.5,-0.14330803956289942
10.0,11.0,10.5,-0.16501831582084583
11.0,12.0,11.5,-0.025400374570679483
12.0,13.0,12.5,-0.025291755503949846
13.0,14.0,13.5,0.14296125552807465
14.0,15.0,14.5,0.16692697477390203
15.0,16.0,15.5,-0.042931551224495615
16.0,17.0,16.5,-0.0036547303282574574
17.0,18.0,17.5,0.013526107467968522
18.0,19.0,18.5,-0.04237183860640819
19.0,20.0,19.5,0.03098599818697184
