Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.5618071154683695
1.0,2.0,1.5,-2.5618071154683695
2.0,3.0,2.5,-2.5618071154683695
3.0,4.0,3.5,-2.5618071154683695
4.0,5.0,4.5,-2.5618071154683695
5.0,6.0,5.5,8.95112834945186
6.0,7.0,6.5,0.07715736197818879
7.0,8.0,7.5,0.9346034812962167
8.0,9.0,8.5,0.0772037868190415
9.0,10.0,9.5,-0.1769968940609893
10.0,11.0,10.5,0.18260033304079162
11.0,12.0,11.5,0.11616218115261179
12.0,13.0,12.5,-0.08887883687343852
13.0,14.0,13.5,-0.36870735214211386
14.0,15.0,14.5,-0.29478785617122216
15.0,16.0,15.5,0.1537601561011324
16.0,17.0,16.5,0.5337681061806282
17.0,18.0,17.5,-0.07809296043142619
18.0,19.0,18.5,0.19891730400265412
19.0,20.0,19.5,-0.003380819651684228
