Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.928053872936794
1.0,2.0,1.5,-2.928053872936794
2.0,3.0,2.5,8.074062634795222
3.0,4.0,3.5,9.945850709268312
4.0,5.0,4.5,0.0012197789552856057
5.0,6.0,5.5,1.6292926660874472
6.0,7.0,6.5,-0.03768589281043191
7.0,8.0,7.5,0.5572215240821679
8.0,9.0,8.5,0.41126488988279875
9.0,10.0,9.5,0.21423543442785248
10.0,11.0,10.5,0.4354713531199457
11.0,12.0,11.5,0.07278270961443731
12.0,13.0,12.5,-0.010605505999536207
13.0,14.0,13.5,0.053149934951171506
14.0,15.0,14.5,0.23711019305650588
15.0,16.0,15.5,0.03186524601133825
16.0,17.0,16.5,-0.06675939664314116
17.0,18.0,17.5,-0.19952064303587755
18.0,19.0,18.5,-0.12269603485407303
19.0,20.0,19.5,-0.05898491664570494
