Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.3375795930843153
1.0,2.0,1.5,-2.3375795930843153
2.0,3.0,2.5,-1.644449078774381
3.0,4.0,3.5,0.632787437834621
4.0,5.0,4.5,-0.170438374271331
5.0,6.0,5.5,0.06031218321789387
6.0,7.0,6.5,0.16074759655897278
7.0,8.0,7.5,0.014600907425594027
8.0,9.0,8.5,-0.07439806611598646
9.0,10.0,9.5,-0.09974539281490834
10.0,11.0,10.5,-0.048124349717221813
11.0,12.0,11.5,0.014383008463674702
12.0,13.0,12.5,-0.11624987859410321
13.0,14.0,13.5,0.062268609793392
14.0,15.0,14.5,0.13227534626218537
15.0,16.0,15.5,-0.05604102413622394
16.0,17.0,16.5,0.03798552253758544
17.0,18.0,17.5,-0.07382797100471486
18.0,19.0,18.5,0.038900784783329964
19.0,20.0,19.5,-0.0006530044576832502
