Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.0944481839148876
1.0,2.0,1.5,-2.0944481839148876
2.0,3.0,2.5,-0.3027720431593866
3.0,4.0,3.5,0.8759188470040485
4.0,5.0,4.5,0.008154930424501373
5.0,6.0,5.5,-0.10202023367366986
6.0,7.0,6.5,0.14359652683262125
7.0,8.0,7.5,0.004536799339620069
8.0,9.0,8.5,-0.026758475146270205
9.0,10.0,9.5,0.08931883685530567
10.0,11.0,10.5,0.07240480902729464
11.0,12.0,11.5,-0.06355455783628453
12.0,13.0,12.5,-0.008872870868607543
13.0,14.0,13.5,0.029072540535581233
14.0,15.0,14.5,0.008845702263311871
15.0,16.0,15.5,0.048407018903614076
16.0,17.0,16.5,-0.006565096418533402
17.0,18.0,17.5,-0.033744225093915906
18.0,19.0,18.5,0.010177230081129548
19.0,20.0,19.5,-0.03864849584344396
