Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-3.4688757216646025
1.0,2.0,1.5,-3.4688757216646025
2.0,3.0,2.5,-3.4688757216646025
3.0,4.0,3.5,-3.4688757216646025
4.0,5.0,4.5,-3.4688757216646025
5.0,6.0,5.5,-1.1663806237208898
6.0,7.0,6.5,-0.8299112442180444
7.0,8.0,7.5,0.02753487509998346
8.0,9.0,8.5,-0.8298648193771915
9.0,10.0,9.5,0.16866175510034975
10.0,11.0,10.5,-1.0121475678564504
11.0,12.0,11.5,-0.7531662395103791
12.0,13.0,12.5,0.4391294632191973
13.0,14.0,13.5,0.34607945868098094
14.0,15.0,14.5,0.5089284825010395
15.0,16.0,15.5,-0.0018944746125068
16.0,17.0,16.5,0.2710542544783595
17.0,18.0,17.5,-0.06887297760528993
18.0,19.0,18.5,0.00404211398128405
19.0,20.0,19.5,-0.11350716815173331
