Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,2.0832465313945252e-06
1.0,2.0,1.5,2.0832465313945252e-06
2.0,3.0,2.5,2.0832465313945252e-06
3.0,4.0,3.5,2.0832465313945252e-06
4.0,5.0,4.5,2.0832465313945252e-06
5.0,6.0,5.5,2.0832465313945252e-06
6.0,7.0,6.5,2.0832465313945252e-06
7.0,8.0,7.5,2.0832465313945252e-06
8.0,9.0,8.5,2.0832465313945252e-06
9.0,10.0,9.5,0.020834548560476646
10.0,11.0,10.5,2.0832465313945252e-06
11.0,12.0,11.5,0.14582934044414814
12.0,13.0,12.5,0.08333194450231239
13.0,14.0,13.5,0.1249968751302029
14.0,15.0,14.5,0.10416440981625764
15.0,16.0,15.5,0.06249947918836715
16.0,17.0,16.5,0.0416670138744219
17.0,18.0,17.5,0.1249968751302029
18.0,19.0,18.5,0.14582934044414814
19.0,20.0,19.5,0.14582934044414814
