Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.5872511983746548e-06
1.0,2.0,1.5,1.5872511983746548e-06
2.0,3.0,2.5,1.5872511983746548e-06
3.0,4.0,3.5,1.5872511983746548e-06
4.0,5.0,4.5,1.5872511983746548e-06
5.0,6.0,5.5,1.5872511983746548e-06
6.0,7.0,6.5,1.5872511983746548e-06
7.0,8.0,7.5,1.5872511983746548e-06
8.0,9.0,8.5,0.01587409923494492
9.0,10.0,9.5,1.5872511983746548e-06
10.0,11.0,10.5,0.01587409923494492
11.0,12.0,11.5,0.031746611218691476
12.0,13.0,12.5,0.06349163518618456
13.0,14.0,13.5,0.22221675502365004
14.0,15.0,14.5,0.04761912320243802
15.0,16.0,15.5,0.15872670708866385
16.0,17.0,16.5,0.12698168312117075
17.0,18.0,17.5,0.15872670708866385
18.0,19.0,18.5,0.06349163518618456
19.0,20.0,19.5,0.09523665915367766
