Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,3.448038066340253e-06
1.0,2.0,1.5,3.448038066340253e-06
2.0,3.0,2.5,3.448038066340253e-06
3.0,4.0,3.5,3.448038066340253e-06
4.0,5.0,4.5,3.448038066340253e-06
5.0,6.0,5.5,3.448038066340253e-06
6.0,7.0,6.5,3.448038066340253e-06
7.0,8.0,7.5,3.448038066340253e-06
8.0,9.0,8.5,3.448038066340253e-06
9.0,10.0,9.5,0.03448382870146886
10.0,11.0,10.5,0.03448382870146886
11.0,12.0,11.5,0.0689642093648714
12.0,13.0,12.5,0.20688573201848148
13.0,14.0,13.5,0.10344459002827393
14.0,15.0,14.5,0.03448382870146886
15.0,16.0,15.5,0.0689642093648714
16.0,17.0,16.5,0.13792497069167645
17.0,18.0,17.5,0.0689642093648714
18.0,19.0,18.5,0.17240535135507895
19.0,20.0,19.5,0.0689642093648714
