Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,2.222123461179503e-06
1.0,2.0,1.5,2.222123461179503e-06
2.0,3.0,2.5,2.222123461179503e-06
3.0,4.0,3.5,2.222123461179503e-06
4.0,5.0,4.5,2.222123461179503e-06
5.0,6.0,5.5,0.04444469134705124
6.0,7.0,6.5,2.222123461179503e-06
7.0,8.0,7.5,0.02222345673525621
8.0,9.0,8.5,0.02222345673525621
9.0,10.0,9.5,0.02222345673525621
10.0,11.0,10.5,0.02222345673525621
11.0,12.0,11.5,2.222123461179503e-06
12.0,13.0,12.5,0.06666592595884628
13.0,14.0,13.5,0.04444469134705124
14.0,15.0,14.5,0.08888716057064129
15.0,16.0,15.5,0.08888716057064129
16.0,17.0,16.5,0.22221456824141148
17.0,18.0,17.5,0.1555508644060264
18.0,19.0,18.5,0.06666592595884628
19.0,20.0,19.5,0.13332962979423135
