Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,1.999920003199872e-06
1.0,2.0,1.5,1.999920003199872e-06
2.0,3.0,2.5,1.999920003199872e-06
3.0,4.0,3.5,1.999920003199872e-06
4.0,5.0,4.5,1.999920003199872e-06
5.0,6.0,5.5,1.999920003199872e-06
6.0,7.0,6.5,1.999920003199872e-06
7.0,8.0,7.5,1.999920003199872e-06
8.0,9.0,8.5,1.999920003199872e-06
9.0,10.0,9.5,1.999920003199872e-06
10.0,11.0,10.5,0.040000399984000644
11.0,12.0,11.5,0.07999880004799807
12.0,13.0,12.5,0.05999960001599936
13.0,14.0,13.5,0.11999720011199551
14.0,15.0,14.5,0.040000399984000644
15.0,16.0,15.5,0.040000399984000644
16.0,17.0,16.5,0.13999640014399423
17.0,18.0,17.5,0.15999560017599296
18.0,19.0,18.5,0.15999560017599296
19.0,20.0,19.5,0.15999560017599296
