Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,3.999680025597953e-06
1.0,2.0,1.5,3.999680025597953e-06
2.0,3.0,2.5,3.999680025597953e-06
3.0,4.0,3.5,3.999680025597953e-06
4.0,5.0,4.5,3.999680025597953e-06
5.0,6.0,5.5,3.999680025597953e-06
6.0,7.0,6.5,3.999680025597953e-06
7.0,8.0,7.5,3.999680025597953e-06
8.0,9.0,8.5,0.040000799936005124
9.0,10.0,9.5,3.999680025597953e-06
10.0,11.0,10.5,0.11999440044796418
11.0,12.0,11.5,0.2799816014718823
12.0,13.0,12.5,3.999680025597953e-06
13.0,14.0,13.5,0.07999760019198465
14.0,15.0,14.5,0.11999440044796418
15.0,16.0,15.5,0.07999760019198465
16.0,17.0,16.5,0.040000799936005124
17.0,18.0,17.5,0.11999440044796418
18.0,19.0,18.5,0.040000799936005124
19.0,20.0,19.5,0.07999760019198465
