Distance_Min,Distance_Max,Distance_Mid,Count,Frequency
0.0,1.0,0.5,0.0,2.433078184534382e-07
1.0,2.0,1.5,0.0,2.433078184534382e-07
2.0,3.0,2.5,0.0,2.433078184534382e-07
3.0,4.0,3.5,0.0,2.433078184534382e-07
4.0,5.0,4.5,0.0,2.433078184534382e-07
5.0,6.0,5.5,2.0,0.004866399676887218
6.0,7.0,6.5,0.0,2.433078184534382e-07
7.0,8.0,7.5,2.0,0.004866399676887218
8.0,9.0,8.5,3.0,0.007299477861421599
9.0,10.0,9.5,3.0,0.007299477861421599
10.0,11.0,10.5,10.0,0.02433102515316227
11.0,12.0,11.5,33.0,0.08029182339745305
12.0,13.0,12.5,33.0,0.08029182339745305
13.0,14.0,13.5,38.0,0.09245721432012496
14.0,15.0,14.5,42.0,0.1021895270582625
15.0,16.0,15.5,44.0,0.10705568342733127
16.0,17.0,16.5,43.0,0.10462260524279687
17.0,18.0,17.5,62.0,0.15085109074895015
18.0,19.0,18.5,44.0,0.10705568342733127
19.0,20.0,19.5,52.0,0.12652030890360633
