Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.973980409380642
1.0,2.0,1.5,-2.973980409380642
2.0,3.0,2.5,-2.973980409380642
3.0,4.0,3.5,-2.973980409380642
4.0,5.0,4.5,-2.973980409380642
5.0,6.0,5.5,6.929557141905528
6.0,7.0,6.5,-2.973980409380642
7.0,8.0,7.5,6.929557141905528
8.0,9.0,8.5,7.335005584041441
9.0,10.0,9.5,7.335005584041441
10.0,11.0,10.5,8.538955055539587
11.0,12.0,11.5,0.522430187383944
12.0,13.0,12.5,-0.1706669969257097
13.0,14.0,13.5,-0.02958879738875834
14.0,15.0,14.5,-0.8457663223818299
15.0,16.0,15.5,-0.5761078635450864
16.0,17.0,16.5,9.997562403867795
17.0,18.0,17.5,0.05450996712047492
18.0,19.0,18.5,0.810111502261976
19.0,20.0,19.5,-0.1213803891700403
