Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.0673159012841804
1.0,2.0,1.5,-2.0673159012841804
2.0,3.0,2.5,-2.0673159012841804
3.0,4.0,3.5,-2.0673159012841804
4.0,5.0,4.5,-2.0673159012841804
5.0,6.0,5.5,7.836221650001989
6.0,7.0,6.5,-2.0673159012841804
7.0,8.0,7.5,7.836221650001989
8.0,9.0,8.5,8.241670092137902
9.0,10.0,9.5,8.241670092137902
10.0,11.0,10.5,0.2351791966595321
11.0,12.0,11.5,0.33054906903483877
12.0,13.0,12.5,-0.18026322175336434
13.0,14.0,13.5,10.0
14.0,15.0,14.5,-0.12142003780709992
15.0,16.0,15.5,0.33055664455137507
16.0,17.0,16.5,-0.3855675016136385
17.0,18.0,17.5,0.26804396090700205
18.0,19.0,18.5,-0.4803596830268317
19.0,20.0,19.5,-0.4186653525717251
