Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-1.9076914301433645
1.0,2.0,1.5,-1.9076914301433645
2.0,3.0,2.5,-1.9076914301433645
3.0,4.0,3.5,-1.9076914301433645
4.0,5.0,4.5,-1.9076914301433645
5.0,6.0,5.5,7.995846121142805
6.0,7.0,6.5,-1.9076914301433645
7.0,8.0,7.5,-1.2145942458337105
8.0,9.0,8.5,8.401294563278718
9.0,10.0,9.5,8.401294563278718
10.0,11.0,10.5,9.605244034776865
11.0,12.0,11.5,-0.020638750612548266
12.0,13.0,12.5,-0.20295697413427946
13.0,14.0,13.5,0.6312517397126061
14.0,15.0,14.5,-0.5679237945765889
15.0,16.0,15.5,-0.20295356510212473
16.0,17.0,16.5,1.1603138318189021
17.0,18.0,17.5,-0.48861229994300226
18.0,19.0,18.5,0.4901811156921911
19.0,20.0,19.5,0.2517780757573027
