Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.1473554039579175
1.0,2.0,1.5,-2.1473554039579175
2.0,3.0,2.5,-2.1473554039579175
3.0,4.0,3.5,-2.1473554039579175
4.0,5.0,4.5,-2.1473554039579175
5.0,6.0,5.5,7.756182147328253
6.0,7.0,6.5,-2.1473554039579175
7.0,8.0,7.5,7.756182147328253
8.0,9.0,8.5,8.161630589464165
9.0,10.0,9.5,-1.0488097775123506
10.0,11.0,10.5,9.365580060962312
11.0,12.0,11.5,-0.5967692468605571
12.0,13.0,12.5,-0.037164173000393826
13.0,14.0,13.5,-0.301542748411881
14.0,15.0,14.5,-0.01914131695910544
15.0,16.0,15.5,0.5381908812391343
16.0,17.0,16.5,0.9206498580043494
17.0,18.0,17.5,0.18800445823326525
18.0,19.0,18.5,-0.309087931982525
19.0,20.0,19.5,-0.1420341969689749
