Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-1.8754316087450593
1.0,2.0,1.5,-1.8754316087450593
2.0,3.0,2.5,-1.8754316087450593
3.0,4.0,3.5,-1.8754316087450593
4.0,5.0,4.5,-1.8754316087450593
5.0,6.0,5.5,8.02810594254111
6.0,7.0,6.5,-1.8754316087450593
7.0,8.0,7.5,8.02810594254111
8.0,9.0,8.5,-0.7768859822994926
9.0,10.0,9.5,8.433554384677024
10.0,11.0,10.5,0.42706348919865345
11.0,12.0,11.5,0.9278818037098726
12.0,13.0,12.5,0.23475962221246413
13.0,14.0,13.5,-0.8769072898900803
14.0,15.0,14.5,0.7635947690419557
15.0,16.0,15.5,-0.39383479504615404
16.0,17.0,16.5,-0.19368320907451733
17.0,18.0,17.5,-0.050890703742088594
18.0,19.0,18.5,0.5224409370904963
19.0,20.0,19.5,0.28403789715560784
