Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.6512332875387403
1.0,2.0,1.5,-2.6512332875387403
2.0,3.0,2.5,-2.6512332875387403
3.0,4.0,3.5,-2.6512332875387403
4.0,5.0,4.5,-2.6512332875387403
5.0,6.0,5.5,7.25230426374743
6.0,7.0,6.5,-2.6512332875387403
7.0,8.0,7.5,7.25230426374743
8.0,9.0,8.5,7.657752705883342
9.0,10.0,9.5,-1.5526876610931735
10.0,11.0,10.5,-0.34873818959502734
11.0,12.0,11.5,0.15208012491619213
12.0,13.0,12.5,-0.9464988315296551
13.0,14.0,13.5,-0.1122901176827694
14.0,15.0,14.5,1.0863387166938414
15.0,16.0,15.5,0.4397614397942243
16.0,17.0,16.5,-0.27635020707388225
17.0,18.0,17.5,0.7827055310982897
18.0,19.0,18.5,-0.4764992931298916
19.0,20.0,19.5,0.6068151748077745
