Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.211891147437304
1.0,2.0,1.5,-2.211891147437304
2.0,3.0,2.5,-2.211891147437304
3.0,4.0,3.5,-2.211891147437304
4.0,5.0,4.5,-2.211891147437304
5.0,6.0,5.5,-2.211891147437304
6.0,7.0,6.5,-2.211891147437304
7.0,8.0,7.5,-1.5187939631276504
8.0,9.0,8.5,-1.1133455209917378
9.0,10.0,9.5,-1.1133455209917378
10.0,11.0,10.5,0.09060395050640838
11.0,12.0,11.5,10.0
12.0,13.0,12.5,0.18597382288171493
13.0,14.0,13.5,0.7325004645545792
14.0,15.0,14.5,0.13946149098821486
15.0,16.0,15.5,0.18598139839825137
16.0,17.0,16.5,-0.7532837991090967
17.0,18.0,17.5,-0.030679584157846593
18.0,19.0,18.5,0.4736551377597471
19.0,20.0,19.5,-0.052421641536636955
