Distance_Min,Distance_Max,Distance_Mid,Score
0.0,1.0,0.5,-2.799642258996072
1.0,2.0,1.5,-2.799642258996072
2.0,3.0,2.5,-2.799642258996072
3.0,4.0,3.5,-2.799642258996072
4.0,5.0,4.5,-2.799642258996072
5.0,6.0,5.5,7.1038952922900975
6.0,7.0,6.5,-2.799642258996072
7.0,8.0,7.5,7.1038952922900975
8.0,9.0,8.5,-1.7010966325505055
9.0,10.0,9.5,7.50934373442601
10.0,11.0,10.5,-1.595692787497926
11.0,12.0,11.5,-1.249056101898712
12.0,13.0,12.5,9.90720870474503
13.0,14.0,13.5,0.14474935299581135
14.0,15.0,14.5,-0.1606158812090572
15.0,16.0,15.5,0.2913524683368922
16.0,17.0,16.5,0.9614601872758483
17.0,18.0,17.5,0.22884811750504472
18.0,19.0,18.5,0.9844496526465459
19.0,20.0,19.5,0.4584062033504423
